submission_id,train,UE,FE,W
4314_mens,0,,,
3559_mens,0,,,
768_mens,0,,,
426_mens,0,,,
807_mens,0,,,
8756_mens,0,,,
8308_mens,0,,,
7997_mens,0,,,
2950_mens,0,,,
5320_mens,0,,,
6271_mens,0,,,
7005_mens,0,,,
9143_mens,0,,,
2261_mens,0,,,
3523_mens,0,,,
1593_mens,0,,,
1272_mens,0,,,
7536_mens,0,,,
5729_mens,0,,,
594_mens,0,,,
2104_mens,0,,,
1491_mens,0,,,
8008_mens,0,,,
2425_mens,0,,,
7725_mens,0,,,
6166_mens,0,,,
6383_mens,0,,,
8978_mens,0,,,
7686_mens,0,,,
705_mens,0,,,
8369_mens,0,,,
9326_mens,0,,,
7137_mens,0,,,
4463_mens,0,,,
3762_mens,0,,,
9187_mens,0,,,
1335_mens,0,,,
8576_mens,0,,,
441_mens,0,,,
2077_mens,0,,,
8200_mens,0,,,
1079_mens,0,,,
6107_mens,0,,,
8776_mens,0,,,
1458_mens,0,,,
784_mens,0,,,
6915_mens,0,,,
8510_mens,0,,,
4012_mens,0,,,
1663_mens,0,,,
5181_mens,0,,,
8350_mens,0,,,
909_mens,0,,,
3598_mens,0,,,
4861_mens,0,,,
460_mens,0,,,
1429_mens,0,,,
5591_mens,0,,,
741_mens,0,,,
7964_mens,0,,,
610_mens,0,,,
918_mens,0,,,
2795_mens,0,,,
1414_mens,0,,,
96_mens,0,,,
6762_mens,0,,,
1317_mens,0,,,
7597_mens,0,,,
4671_mens,0,,,
1184_mens,0,,,
2402_mens,0,,,
4144_mens,0,,,
5886_mens,0,,,
6785_mens,0,,,
5960_mens,0,,,
9348_mens,0,,,
5437_mens,0,,,
5080_mens,0,,,
1862_mens,0,,,
264_mens,0,,,
4454_mens,0,,,
2388_mens,0,,,
80_mens,0,,,
4209_mens,0,,,
9479_mens,0,,,
2725_mens,0,,,
3365_mens,0,,,
1134_mens,0,,,
4606_mens,0,,,
5968_mens,0,,,
9504_mens,0,,,
3781_mens,0,,,
8151_mens,0,,,
7435_mens,0,,,
2447_mens,0,,,
1539_mens,0,,,
8341_mens,0,,,
3111_mens,0,,,
886_mens,0,,,
696_mens,0,,,
5794_mens,0,,,
267_mens,0,,,
5199_mens,0,,,
736_mens,0,,,
339_mens,0,,,
6345_mens,0,,,
3711_mens,0,,,
90_mens,0,,,
6886_mens,0,,,
3888_mens,0,,,
99_mens,0,,,
3599_mens,0,,,
1427_mens,0,,,
3224_mens,0,,,
7740_mens,0,,,
4744_mens,0,,,
6966_mens,0,,,
6949_mens,0,,,
9357_mens,0,,,
257_mens,0,,,
3400_mens,0,,,
1345_mens,0,,,
4524_mens,0,,,
6840_mens,0,,,
4818_mens,0,,,
9138_mens,0,,,
511_mens,0,,,
6008_mens,0,,,
7562_mens,0,,,
4251_mens,0,,,
8884_mens,0,,,
673_mens,0,,,
3691_mens,0,,,
1513_mens,0,,,
5717_mens,0,,,
5932_mens,0,,,
5744_mens,0,,,
5233_mens,0,,,
3927_mens,0,,,
3022_mens,0,,,
4693_mens,0,,,
5032_mens,0,,,
8644_mens,0,,,
3699_mens,0,,,
5232_mens,0,,,
9341_mens,0,,,
1443_mens,0,,,
4511_mens,0,,,
1093_mens,0,,,
6341_mens,0,,,
6696_mens,0,,,
6221_mens,0,,,
9396_mens,0,,,
7792_mens,0,,,
4393_mens,0,,,
4832_mens,0,,,
3350_mens,0,,,
6521_mens,0,,,
1222_mens,0,,,
5842_mens,0,,,
7126_mens,0,,,
3727_mens,0,,,
4489_mens,0,,,
7082_mens,0,,,
1846_mens,0,,,
6360_mens,0,,,
2756_mens,0,,,
5577_mens,0,,,
6677_mens,0,,,
2272_mens,0,,,
4037_mens,0,,,
2485_mens,0,,,
5454_mens,0,,,
3252_mens,0,,,
1174_mens,0,,,
8055_mens,0,,,
3636_mens,0,,,
6587_mens,0,,,
3203_mens,0,,,
2724_mens,0,,,
1301_mens,0,,,
5535_mens,0,,,
1850_mens,0,,,
4560_mens,0,,,
233_mens,0,,,
4278_mens,0,,,
4546_mens,0,,,
7291_mens,0,,,
2015_mens,0,,,
6697_mens,0,,,
4533_mens,0,,,
916_mens,0,,,
4934_mens,0,,,
356_mens,0,,,
2461_mens,0,,,
7621_mens,0,,,
3985_mens,0,,,
5393_mens,0,,,
8583_mens,0,,,
5267_mens,0,,,
3587_mens,0,,,
250_mens,0,,,
2618_mens,0,,,
3944_mens,0,,,
3112_mens,0,,,
5556_mens,0,,,
8465_mens,0,,,
8748_mens,0,,,
6858_mens,0,,,
1600_mens,0,,,
1640_mens,0,,,
8709_mens,0,,,
4036_mens,0,,,
2514_mens,0,,,
6435_mens,0,,,
781_mens,0,,,
34_mens,0,,,
7873_mens,0,,,
7878_mens,0,,,
7915_mens,0,,,
5754_mens,0,,,
7322_mens,0,,,
215_mens,0,,,
2229_mens,0,,,
2367_mens,0,,,
2615_mens,0,,,
5183_mens,0,,,
2856_mens,0,,,
5184_mens,0,,,
1703_mens,0,,,
6822_mens,0,,,
4316_mens,0,,,
1639_mens,0,,,
4069_mens,0,,,
2496_mens,0,,,
1437_mens,0,,,
3190_mens,0,,,
3554_mens,0,,,
5455_mens,0,,,
1176_mens,0,,,
1303_mens,0,,,
5607_mens,0,,,
2013_mens,0,,,
171_mens,0,,,
3169_mens,0,,,
2525_mens,0,,,
6103_mens,0,,,
1950_mens,0,,,
7910_mens,0,,,
5565_mens,0,,,
462_mens,0,,,
974_mens,0,,,
367_mens,0,,,
6456_mens,0,,,
8446_mens,0,,,
6692_mens,0,,,
7342_mens,0,,,
7866_mens,0,,,
6254_mens,0,,,
9398_mens,0,,,
7111_mens,0,,,
2884_mens,0,,,
5143_mens,0,,,
7191_mens,0,,,
8062_mens,0,,,
2316_mens,0,,,
2631_mens,0,,,
1041_mens,0,,,
6991_mens,0,,,
5033_mens,0,,,
2175_mens,0,,,
3486_mens,0,,,
140_mens,0,,,
7320_mens,0,,,
4890_mens,0,,,
4554_mens,0,,,
617_mens,0,,,
8951_mens,0,,,
8802_mens,0,,,
1313_mens,0,,,
399_mens,0,,,
4067_mens,0,,,
7296_mens,0,,,
4580_mens,0,,,
867_mens,0,,,
6064_mens,0,,,
4622_mens,0,,,
8824_mens,0,,,
8390_mens,0,,,
3152_mens,0,,,
190_mens,0,,,
5720_mens,0,,,
4188_mens,0,,,
7825_mens,0,,,
889_mens,0,,,
4495_mens,0,,,
242_mens,0,,,
6611_mens,0,,,
3077_mens,0,,,
4516_mens,0,,,
274_mens,0,,,
3069_mens,0,,,
8796_mens,0,,,
495_mens,0,,,
2381_mens,0,,,
9056_mens,0,,,
9440_mens,0,,,
5837_mens,0,,,
3372_mens,0,,,
2380_mens,0,,,
4731_mens,0,,,
4566_mens,0,,,
4288_mens,0,,,
2401_mens,0,,,
7392_mens,0,,,
4507_mens,0,,,
9311_mens,0,,,
3260_mens,0,,,
1330_mens,0,,,
7278_mens,0,,,
7021_mens,0,,,
2558_mens,0,,,
5093_mens,0,,,
389_mens,0,,,
5510_mens,0,,,
434_mens,0,,,
3970_mens,0,,,
2670_mens,0,,,
593_mens,0,,,
6406_mens,0,,,
2122_mens,0,,,
7924_mens,0,,,
7602_mens,0,,,
655_mens,0,,,
